outcome,lower_rate,higher_rate,contrast,difference_orientation,n_paired_nodes,lower_rate_mean,higher_rate_mean,mean_paired_difference,median_paired_difference,std_paired_difference,paired_difference_ci_low,paired_difference_ci_high,num_nodes_higher_value,num_nodes_lower_value,num_nodes_equal_value,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_nonzero_pairs,wilcoxon_method,wilcoxon_continuity_correction,rank_biserial,positive_rank_sum,negative_rank_sum,bootstrap_resamples,confidence_level,wilcoxon_p_holm,holm_family,holm_family_size,holm_alpha,holm_reject_at_alpha
mean_jaccard,0.01,0.05,0.01_to_0.05,higher_rate_minus_lower_rate,96,0.9004939300895183,0.7252533170578513,-0.17524061303166696,-0.17412587412587427,0.07660046181570666,-0.1906788711583442,-0.16034064425838324,1,95,0,3.0,1.9542946690968108e-17,96,local_tie_corrected_normal_approximation,False,-0.9987113402061856,3.0,4653.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard,0.01,0.1,0.01_to_0.10,higher_rate_minus_lower_rate,97,0.9015197658617914,0.6045006801430152,-0.29701908571877617,-0.2872793872793874,0.08808792301579367,-0.31421060130032474,-0.2797162276997145,0,97,0,0.0,1.2170239876449707e-17,97,local_tie_corrected_normal_approximation,False,-1.0,0.0,4753.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard,0.01,0.2,0.01_to_0.20,higher_rate_minus_lower_rate,97,0.9015197658617914,0.45406386062970855,-0.44745590523208273,-0.4439893439893439,0.09331534373155322,-0.46601175063721645,-0.42824451519533874,0,97,0,0.0,1.2177539581117502e-17,97,local_tie_corrected_normal_approximation,False,-1.0,0.0,4753.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard,0.05,0.1,0.05_to_0.10,higher_rate_minus_lower_rate,96,0.7252533170578513,0.6045208528261289,-0.1207324642317225,-0.12077922077922071,0.06720346550226781,-0.13430651297536458,-0.1075304474817504,2,94,0,3.0,1.9565634495296758e-17,96,local_tie_corrected_normal_approximation,False,-0.9987113402061856,3.0,4653.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard,0.05,0.2,0.05_to_0.20,higher_rate_minus_lower_rate,96,0.7252533170578513,0.454402352641987,-0.27085096441586437,-0.2657287157287157,0.07375814084813903,-0.286020967660983,-0.2560958739237077,0,96,0,0.0,1.781293897222078e-17,96,local_tie_corrected_normal_approximation,False,-1.0,0.0,4656.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard,0.1,0.2,0.10_to_0.20,higher_rate_minus_lower_rate,97,0.6045006801430152,0.45406386062970855,-0.15043681951330662,-0.15324675324675313,0.06356631825441611,-0.1627830100662553,-0.13770449717338054,3,94,0,12.0,1.7692191402363015e-17,97,local_tie_corrected_normal_approximation,False,-0.9949505575426046,12.0,4741.0,10000,0.95,7.302143925869825e-17,mean_jaccard,6,0.05,True
mean_jaccard_pred_same,0.01,0.05,0.01_to_0.05,higher_rate_minus_lower_rate,96,0.9004176464194846,0.7266146559957836,-0.1738029904237012,-0.17412587412587427,0.07564905909994929,-0.18881795190274048,-0.15865485620157802,1,95,0,3.0,1.955369044259424e-17,96,local_tie_corrected_normal_approximation,False,-0.9987113402061856,3.0,4653.0,10000,0.95,7.304333526599225e-17,mean_jaccard_pred_same,6,0.05,True
mean_jaccard_pred_same,0.01,0.1,0.01_to_0.10,higher_rate_minus_lower_rate,97,0.9014442686213457,0.6063210600263986,-0.29512320859494695,-0.2872793872793874,0.0895634746256311,-0.31339549166965996,-0.276910151091617,0,97,0,0.0,1.2173889210998708e-17,97,local_tie_corrected_normal_approximation,False,-1.0,0.0,4753.0,10000,0.95,7.304333526599225e-17,mean_jaccard_pred_same,6,0.05,True
mean_jaccard_pred_same,0.01,0.2,0.01_to_0.20,higher_rate_minus_lower_rate,97,0.9014442686213457,0.4560321732631487,-0.4454120953581971,-0.44343156843156856,0.09399371143764229,-0.46369903283990266,-0.4268748496539952,0,97,0,0.0,1.2177539581117502e-17,97,local_tie_corrected_normal_approximation,False,-1.0,0.0,4753.0,10000,0.95,7.304333526599225e-17,mean_jaccard_pred_same,6,0.05,True
mean_jaccard_pred_same,0.05,0.1,0.05_to_0.10,higher_rate_minus_lower_rate,96,0.7266146559957836,0.6063601949999643,-0.12025446099581923,-0.12077922077922071,0.07036870006135014,-0.1343997035706505,-0.10632755066767849,3,93,0,32.0,4.846242337912603e-17,96,local_tie_corrected_normal_approximation,False,-0.9862542955326461,32.0,4624.0,10000,0.95,7.304333526599225e-17,mean_jaccard_pred_same,6,0.05,True
