node_id,true_label,predicted_label,confidence,rho,num_hops,top_k,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,num_top_features,has_full_top_k,has_at_least_top_k_nonzero,beta_finite,beta_nonnegative,objective_decreased,initial_objective_valid,max_beta,min_beta,output_kernel_valid,explanation_available,failure_reason
1903,5,5,0.7387283444404602,0.03,2,10,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,292,0.5,0.28426510095596313,0.21573489904403687,9.005460377409236e-09,29,10,True,True,True,True,True,True,0.3464481234550476,0.0,True,True,
1749,2,2,0.6309836506843567,0.03,2,10,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,201,0.5000004172325134,0.4790608286857605,0.02093958854675293,9.900094966042161e-09,35,10,True,True,True,True,True,True,0.16701121628284454,0.0,True,True,
1726,2,2,0.5190050601959229,0.03,2,10,190,772,820,613,0.2365036904811859,42.85700225830078,8.01025676727295,0.12483994662761688,True,208,0.5000001788139343,0.4600397050380707,0.03996047377586365,9.463355432615117e-09,22,10,True,True,True,True,True,True,0.24156232178211212,0.0,True,True,
2499,0,0,0.7125833630561829,0.03,2,10,7,16,71,1362,0.08248905092477798,1.8729840517044067,15.451394081115723,0.06471908092498779,True,188,0.4999999403953552,0.1487908810377121,0.3512090593576431,7.926507450406461e-09,54,10,True,True,True,True,True,True,0.14176717400550842,0.0,True,True,
2075,3,3,0.6888059377670288,0.03,2,10,18,66,182,1251,0.19186140596866608,3.7631969451904297,14.40362548828125,0.06942696124315262,True,408,0.5,0.2829074561595917,0.21709254384040833,9.867186179235432e-09,52,10,True,True,True,True,True,True,0.23542729020118713,0.0,True,True,
1971,4,4,0.5015748143196106,0.03,2,10,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,465,0.5000001192092896,0.404409795999527,0.09559032320976257,9.883653895315092e-09,94,10,True,True,True,True,True,True,0.23968656361103058,0.0,True,True,
1965,4,4,0.5819104313850403,0.03,2,10,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,335,0.4999999701976776,0.3817180395126343,0.11828193068504333,7.50495221524261e-09,102,10,True,True,True,True,True,True,0.15187713503837585,0.0,True,True,
2002,4,4,0.4104312062263489,0.03,2,10,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,1041,0.5,0.3933604061603546,0.10663959383964539,9.98732208046249e-09,68,10,True,True,True,True,True,True,0.2206304669380188,0.0,True,True,
2691,2,2,0.7187644243240356,0.03,2,10,4,8,59,1374,0.10543184727430344,1.4717904329299927,21.962501525878906,0.04553215578198433,True,1486,0.5,0.038046013563871384,0.4619539864361286,0.0,16,10,True,True,True,True,True,True,0.2657161355018616,0.0,True,True,
2685,2,2,0.8608684539794922,0.03,2,10,12,36,131,1302,0.1282934844493866,2.8742685317993164,18.103219985961914,0.055238790810108185,True,423,0.5000000596046448,0.18675705790519714,0.31324300169944763,7.693986781021067e-09,45,10,True,True,True,True,True,True,0.34139224886894226,0.0,True,True,
