node_id,true_label,predicted_label,confidence
1903,5,5,0.7387283444404602
1749,2,2,0.6309836506843567
1726,2,2,0.5190050601959229
2499,0,0,0.7125833630561829
2075,3,3,0.6888059377670288
1971,4,4,0.5015748143196106
1965,4,4,0.5819104313850403
2002,4,4,0.4104312062263489
2691,2,2,0.7187644243240356
2685,2,2,0.8608684539794922
2421,2,2,0.4608161151409149
2678,4,4,0.27419641613960266
2145,1,1,0.800554096698761
2613,3,3,0.794624924659729
2697,3,3,0.6216167211532593
1830,2,2,0.4453318417072296
2134,6,6,0.4497555196285248
2511,0,0,0.21113146841526031
2298,4,4,0.32336705923080444
2085,1,1,0.5924303531646729
2304,3,3,0.3235635757446289
2140,3,3,0.8588941693305969
2207,3,3,0.5075956583023071
1748,2,2,0.6427563428878784
2374,5,5,0.6476162075996399
2478,1,1,0.48801183700561523
2076,3,3,0.5761532187461853
2386,4,4,0.30795806646347046
1744,2,2,0.7981822490692139
2575,0,0,0.3191019594669342
2137,0,0,0.24616965651512146
2334,2,2,0.5102955102920532
2146,3,3,0.5317122936248779
2556,2,2,0.3312290608882904
1966,4,4,0.7453000545501709
1721,2,2,0.7347998023033142
2052,0,0,0.3994514048099518
2451,2,2,0.39168933033943176
2122,4,4,0.6971177458763123
2609,3,3,0.23427227139472961
2155,0,0,0.7313411831855774
1765,2,2,0.9009186029434204
2266,0,0,0.46204203367233276
2236,4,4,0.6287076473236084
2507,2,2,0.7500112652778625
2554,2,2,0.4950905442237854
2441,2,2,0.5838233828544617
2209,6,6,0.7937487363815308
2112,6,6,0.5146459937095642
2627,2,2,0.8874753713607788
2700,3,3,0.24088582396507263
2261,4,4,0.24549923837184906
1720,2,2,0.8018003106117249
2420,3,3,0.31428053975105286
2518,4,4,0.5229170322418213
1948,3,3,0.45577314496040344
2668,3,3,0.6029812097549438
2625,3,3,0.616578996181488
1955,5,5,0.9181212782859802
2593,3,3,0.2780078649520874
2218,1,1,0.5999043583869934
2311,0,0,0.48338091373443604
2337,4,4,0.3608464300632477
2495,3,3,0.6624459028244019
2157,6,6,0.8747673034667969
1822,3,3,0.49218395352363586
2687,3,3,0.7057761549949646
1954,5,5,0.5720919966697693
2059,0,0,0.4081485867500305
2096,1,1,0.42233705520629883
2614,2,2,0.8776564002037048
2363,5,5,0.8800440430641174
2237,4,4,0.6154775619506836
2041,3,3,0.4097443222999573
2202,0,0,0.6122427582740784
2074,0,0,0.6075204014778137
2290,4,4,0.21048937737941742
2382,4,4,0.2827281355857849
1804,2,2,0.3821392059326172
1917,6,6,0.48399269580841064
1761,2,2,0.3302612900733948
2539,3,3,0.8259238600730896
2477,3,3,0.32614246010780334
1812,3,3,0.48474839329719543
2060,5,5,0.6995407342910767
1856,1,1,0.4741944670677185
2238,4,4,0.870302140712738
2588,3,3,0.40270382165908813
2411,3,3,0.4041532874107361
1805,1,1,0.5331879258155823
1898,5,5,0.3185468018054962
1934,3,3,0.2941996455192566
2200,0,0,0.2803977429866791
2459,3,3,0.40317994356155396
1745,2,2,0.7068392038345337
2592,5,5,0.5950422286987305
1722,2,2,0.40128928422927856
2452,2,2,0.7390496730804443
2383,4,4,0.5743151307106018
2440,2,2,0.5721425414085388
